id,rep,epsilon,oppurtunity_factor,risk_factor,objective_type,type_,return_,t_o,t_c
1,1,0.1,1,2,1,102,0,266,266
2,2,0.1,1,2,1,102,0,266,266
3,3,0.1,1,2,1,104,-0.023651111,57,214
4,4,0.1,1,2,1,102,0,266,266
5,5,0.1,1,2,1,102,0,266,266
6,6,0.1,1,2,1,102,0,266,266
7,7,0.1,1,2,1,102,0,266,266
8,8,0.1,1,2,1,102,0,266,266
9,9,0.1,1,2,1,105,0.101003097,24,108
10,10,0.1,1,2,1,102,0,266,266
11,11,0.1,1,2,1,105,0.088398998,3,85
12,12,0.1,1,2,1,102,0,266,266
13,13,0.1,1,2,1,105,0.030501606,60,85
14,14,0.1,1,2,1,102,0,266,266
15,15,0.1,1,2,1,102,0,266,266
16,16,0.1,1,2,1,102,0,266,266
17,17,0.1,1,2,1,102,0,266,266
18,18,0.1,1,2,1,103,0.046135056,11,266
19,19,0.1,1,2,1,102,0,266,266
20,20,0.1,1,2,1,102,0,266,266
21,21,0.1,1,2,1,102,0,266,266
22,22,0.1,1,2,1,103,-0.006857411,57,266
23,23,0.1,1,2,1,105,0.137766524,56,89
24,24,0.1,1,2,1,102,0,266,266
25,25,0.1,1,2,1,102,0,266,266
26,26,0.1,1,2,1,103,0.02141167,39,266
27,27,0.1,1,2,1,105,0.094572457,47,138
28,28,0.1,1,2,1,102,0,266,266
29,29,0.1,1,2,1,102,0,266,266
30,30,0.1,1,2,1,102,0,266,266
31,1,0.1,1,2,2,104,-0.011272805,6,11
32,2,0.1,1,2,2,105,0.016816003,46,59
33,3,0.1,1,2,2,102,0,266,266
34,4,0.1,1,2,2,104,-0.010565946,85,94
35,5,0.1,1,2,2,102,0,266,266
36,6,0.1,1,2,2,102,0,266,266
37,7,0.1,1,2,2,104,-0.019367963,42,67
38,8,0.1,1,2,2,102,0,266,266
39,9,0.1,1,2,2,102,0,266,266
40,10,0.1,1,2,2,104,-0.032260263,63,76
41,11,0.1,1,2,2,104,-0.013147998,5,7
42,12,0.1,1,2,2,104,-0.025280755,85,180
43,13,0.1,1,2,2,104,-0.012051679,10,37
44,14,0.1,1,2,2,104,-0.016487243,35,71
45,15,0.1,1,2,2,105,0.022618026,20,36
46,16,0.1,1,2,2,105,0.016957896,11,35
47,17,0.1,1,2,2,105,0.01578303,12,38
48,18,0.1,1,2,2,104,-0.000974799,67,68
49,19,0.1,1,2,2,105,0.032691484,9,30
50,20,0.1,1,2,2,104,-0.030057194,5,17
51,21,0.1,1,2,2,105,0.000420931,10,11
52,22,0.1,1,2,2,105,0.001535626,64,65
53,23,0.1,1,2,2,105,0.017554465,40,66
54,24,0.1,1,2,2,104,-0.037989184,98,106
55,25,0.1,1,2,2,105,0.000754513,59,60
56,26,0.1,1,2,2,104,-0.021657509,4,42
57,27,0.1,1,2,2,104,-0.002097245,26,49
58,28,0.1,1,2,2,105,0.0309843,10,34
59,29,0.1,1,2,2,102,0,266,266
60,30,0.1,1,2,2,105,0.027371141,97,109
61,1,0.1,1,2,3,104,-0.018640074,66,82
62,2,0.1,1,2,3,104,-0.007236952,3,15
63,3,0.1,1,2,3,105,0.011098579,5,52
64,4,0.1,1,2,3,105,0.007135131,5,7
65,5,0.1,1,2,3,104,0.009046678,5,8
66,6,0.1,1,2,3,104,-0.017026671,13,68
67,7,0.1,1,2,3,104,-0.003770766,2,4
68,8,0.1,1,2,3,105,0.003064299,6,8
69,9,0.1,1,2,3,105,0.031931846,11,30
70,10,0.1,1,2,3,104,-0.036610723,10,60
71,11,0.1,1,2,3,104,-0.022332066,12,16
72,12,0.1,1,2,3,104,0.008634049,14,22
73,13,0.1,1,2,3,104,-0.017874877,3,102
74,14,0.1,1,2,3,102,0,266,266
75,15,0.1,1,2,3,105,0.016370724,89,98
76,16,0.1,1,2,3,104,-0.058082481,2,34
77,17,0.1,1,2,3,105,0.026178571,20,67
78,18,0.1,1,2,3,104,-0.004542458,2,10
79,19,0.1,1,2,3,105,0.010270192,4,6
80,20,0.1,1,2,3,105,0.023692914,39,59
81,21,0.1,1,2,3,105,0.012509521,3,16
82,22,0.1,1,2,3,102,0,266,266
83,23,0.1,1,2,3,104,-0.021415075,78,88
84,24,0.1,1,2,3,104,-0.011910135,13,15
85,25,0.1,1,2,3,104,-0.003205231,2,5
86,26,0.1,1,2,3,105,0.009890146,4,8
87,27,0.1,1,2,3,105,0.007609448,8,12
88,28,0.1,1,2,3,104,-0.008390357,33,37
89,29,0.1,1,2,3,104,-0.023381254,6,19
90,30,0.1,1,2,3,105,-0.009196527,22,25
91,1,0.1,1,3,1,102,0,266,266
92,2,0.1,1,3,1,103,-0.03392885,6,266
93,3,0.1,1,3,1,104,-0.075577555,13,95
94,4,0.1,1,3,1,102,0,266,266
95,5,0.1,1,3,1,102,0,266,266
96,6,0.1,1,3,1,103,0.124238698,71,266
97,7,0.1,1,3,1,102,0,266,266
98,8,0.1,1,3,1,102,0,266,266
99,9,0.1,1,3,1,102,0,266,266
100,10,0.1,1,3,1,102,0,266,266
101,11,0.1,1,3,1,102,0,266,266
102,12,0.1,1,3,1,102,0,266,266
103,13,0.1,1,3,1,102,0,266,266
104,14,0.1,1,3,1,102,0,266,266
105,15,0.1,1,3,1,102,0,266,266
106,16,0.1,1,3,1,102,0,266,266
107,17,0.1,1,3,1,102,0,266,266
108,18,0.1,1,3,1,102,0,266,266
109,19,0.1,1,3,1,105,0.03179884,53,67
110,20,0.1,1,3,1,102,0,266,266
111,21,0.1,1,3,1,105,0.070217782,76,101
112,22,0.1,1,3,1,103,0.043886425,9,266
113,23,0.1,1,3,1,102,0,266,266
114,24,0.1,1,3,1,102,0,266,266
115,25,0.1,1,3,1,102,0,266,266
116,26,0.1,1,3,1,102,0,266,266
117,27,0.1,1,3,1,102,0,266,266
118,28,0.1,1,3,1,102,0,266,266
119,29,0.1,1,3,1,103,0.071793298,58,266
120,30,0.1,1,3,1,102,0,266,266
121,1,0.1,1,3,2,104,-0.045630908,68,123
122,2,0.1,1,3,2,105,0.050124856,43,71
123,3,0.1,1,3,2,102,0,266,266
124,4,0.1,1,3,2,104,-0.021979491,4,70
125,5,0.1,1,3,2,105,0.062115143,12,126
126,6,0.1,1,3,2,102,0,266,266
127,7,0.1,1,3,2,104,-0.000936236,2,3
128,8,0.1,1,3,2,104,-0.061296259,76,125
129,9,0.1,1,3,2,102,0,266,266
130,10,0.1,1,3,2,104,-0.024087041,20,65
131,11,0.1,1,3,2,104,-0.014905627,8,16
132,12,0.1,1,3,2,104,-0.011972064,10,83
133,13,0.1,1,3,2,105,0.024911214,39,56
134,14,0.1,1,3,2,105,0.012300114,72,98
135,15,0.1,1,3,2,102,0,266,266
136,16,0.1,1,3,2,105,0.017750915,34,109
137,17,0.1,1,3,2,105,0.009720064,16,29
138,18,0.1,1,3,2,105,0.008345289,2,19
139,19,0.1,1,3,2,105,0.011632956,22,38
140,20,0.1,1,3,2,104,-0.014879554,12,92
141,21,0.1,1,3,2,104,-0.024935733,31,53
142,22,0.1,1,3,2,104,-0.007550998,12,20
143,23,0.1,1,3,2,104,-0.030486822,6,19
144,24,0.1,1,3,2,105,0.006101589,11,82
145,25,0.1,1,3,2,102,0,266,266
146,26,0.1,1,3,2,104,-0.020213592,9,38
147,27,0.1,1,3,2,104,-0.016227277,6,27
148,28,0.1,1,3,2,104,-0.052473599,11,99
149,29,0.1,1,3,2,105,0.02077963,9,23
150,30,0.1,1,3,2,102,0,266,266
151,1,0.1,1,3,3,105,0.012198145,19,120
152,2,0.1,1,3,3,104,-0.046474077,69,121
153,3,0.1,1,3,3,102,0,266,266
154,4,0.1,1,3,3,104,-0.051655214,10,89
155,5,0.1,1,3,3,105,0.01335803,8,99
156,6,0.1,1,3,3,105,0.006182842,5,27
157,7,0.1,1,3,3,104,-0.037643509,85,104
158,8,0.1,1,3,3,102,0,266,266
159,9,0.1,1,3,3,104,-0.026961193,19,67
160,10,0.1,1,3,3,105,0.014223644,4,59
161,11,0.1,1,3,3,105,0.029513535,4,20
162,12,0.1,1,3,3,104,-0.024059546,6,22
163,13,0.1,1,3,3,102,0,266,266
164,14,0.1,1,3,3,104,-0.009144627,80,84
165,15,0.1,1,3,3,102,0,266,266
166,16,0.1,1,3,3,105,0.01875779,35,56
167,17,0.1,1,3,3,105,0.024576501,6,42
168,18,0.1,1,3,3,105,0.016434601,16,59
169,19,0.1,1,3,3,104,-0.019589665,8,18
170,20,0.1,1,3,3,104,-0.040731314,20,99
171,21,0.1,1,3,3,104,-0.01479469,93,95
172,22,0.1,1,3,3,105,0.015754647,10,33
173,23,0.1,1,3,3,104,-0.011509324,46,59
174,24,0.1,1,3,3,104,-0.036734225,8,67
175,25,0.1,1,3,3,104,-0.023561376,5,10
176,26,0.1,1,3,3,104,-0.012628138,26,59
177,27,0.1,1,3,3,104,-0.01498208,99,106
178,28,0.1,1,3,3,102,0,266,266
179,29,0.1,1,3,3,102,0,266,266
180,30,0.1,1,3,3,105,0.023142102,3,60
181,1,0.1,1,4,1,102,0,266,266
182,2,0.1,1,4,1,102,0,266,266
183,3,0.1,1,4,1,102,0,266,266
184,4,0.1,1,4,1,102,0,266,266
185,5,0.1,1,4,1,102,0,266,266
186,6,0.1,1,4,1,102,0,266,266
187,7,0.1,1,4,1,103,-0.001015428,75,266
188,8,0.1,1,4,1,102,0,266,266
189,9,0.1,1,4,1,102,0,266,266
190,10,0.1,1,4,1,102,0,266,266
191,11,0.1,1,4,1,104,-0.069838156,2,184
192,12,0.1,1,4,1,102,0,266,266
193,13,0.1,1,4,1,102,0,266,266
194,14,0.1,1,4,1,102,0,266,266
195,15,0.1,1,4,1,102,0,266,266
196,16,0.1,1,4,1,102,0,266,266
197,17,0.1,1,4,1,102,0,266,266
198,18,0.1,1,4,1,102,0,266,266
199,19,0.1,1,4,1,103,-0.047011506,58,266
200,20,0.1,1,4,1,102,0,266,266
201,21,0.1,1,4,1,104,-0.062600318,11,157
202,22,0.1,1,4,1,102,0,266,266
203,23,0.1,1,4,1,102,0,266,266
204,24,0.1,1,4,1,102,0,266,266
205,25,0.1,1,4,1,102,0,266,266
206,26,0.1,1,4,1,104,-0.085732962,7,72
207,27,0.1,1,4,1,103,-0.024080002,60,266
208,28,0.1,1,4,1,102,0,266,266
209,29,0.1,1,4,1,102,0,266,266
210,30,0.1,1,4,1,104,-0.080334028,5,69
211,1,0.1,1,4,2,104,-0.020833579,30,56
212,2,0.1,1,4,2,102,0,266,266
213,3,0.1,1,4,2,102,0,266,266
214,4,0.1,1,4,2,102,0,266,266
215,5,0.1,1,4,2,104,-0.017455021,4,18
216,6,0.1,1,4,2,105,0.015450723,39,61
217,7,0.1,1,4,2,105,0.018379725,16,93
218,8,0.1,1,4,2,105,0.048046593,56,234
219,9,0.1,1,4,2,104,-0.014471061,12,36
220,10,0.1,1,4,2,103,0.027738832,99,266
221,11,0.1,1,4,2,102,0,266,266
222,12,0.1,1,4,2,102,0,266,266
223,13,0.1,1,4,2,102,0,266,266
224,14,0.1,1,4,2,105,0.021155203,12,22
